"# PbTaSe2 flake BCAD, thickness 56 nm,roughness 4.7 nm."		 
#eV	#eps_1	#eps_2
2.024489796	4.08804	11.648742
2.036542804	4.061965	11.770755
2.04874019	4.049081	11.873119
2.061084563	4.018719	11.955546
2.073578595	3.99281	12.063858
2.086225026	3.957608	12.195342
2.099026661	3.898358	12.339512
2.111986374	3.847553	12.466181
2.125107112	3.777332	12.528538
2.138391895	3.683106	12.585274
2.151843818	3.573955	12.757354
2.165466055	3.425348	12.83152
2.179261863	3.279257	12.86826
2.193234579	3.14847	12.893712
2.207387628	2.977033	12.962278
2.221724524	2.835928	12.953013
2.236248873	2.701284	12.903786
2.250964375	2.543699	12.863342
2.265874829	2.46125	12.920929
2.280984134	2.362112	12.927318
2.296296296	2.224846	12.883092
2.311815428	2.089787	12.944294
2.327545753	1.961482	12.947692
2.330389025	1.938626	12.945828
2.343491614	1.815628	12.904842
2.359657469	1.632712	12.688358
2.376047904	1.492514	12.623369
2.392667631	1.383367	12.587222
2.409521496	1.276409	12.556315
2.426614481	1.105274	12.506361
2.443951712	0.980375	12.448306
2.461538462	0.968584	12.334103
2.479380155	1.062105	12.122073
2.497482377	1.010115	12.025663
2.515850875	0.912308	11.938116
2.534491569	0.782009	11.849117
2.553410553	0.647827	11.757537
2.572614108	0.428983	11.712885
